task,system,precision,recall,f1,roc_auc,pr_auc,tp,fp,fn,tn,latency_ms
Jailbreak,SHIELD,1.0,1.0,1.0,1.0,1.0,109,0,0,15,1845
Jailbreak,Keyword Filter,1.0,0.2018,0.3359,1.0,1.0,22,0,87,15,3
Jailbreak,Toxic-BERT,1.0,0.055,0.1043,0.5554,0.9177,6,0,103,15,6372
Jailbreak,Zero-Shot NLI (DistilBERT-MNLI),0.9068,0.9817,0.9427,0.745,0.9543,107,11,2,4,26665
Multi-Turn,SHIELD,1.0,0.7778,0.875,0.8519,0.9576,7,0,2,3,1453
Multi-Turn,Keyword Filter,1.0,0.5556,0.7143,1.0,1.0,5,0,4,3,2
Multi-Turn,Toxic-BERT,1.0,0.2222,0.3636,0.8889,0.9722,2,0,7,3,3295
Multi-Turn,Zero-Shot NLI (DistilBERT-MNLI),0.9,1.0,0.9474,0.963,0.9889,9,1,0,2,4065
Privacy,SHIELD,0.9375,1.0,0.9677,1.0,1.0,15,1,0,4,318
Privacy,Keyword Filter,1.0,0.2667,0.4211,1.0,1.0,4,0,11,5,0
Privacy,Toxic-BERT,1.0,0.4667,0.6364,0.9333,0.9791,7,0,8,5,669
Privacy,Zero-Shot NLI (DistilBERT-MNLI),0.8235,0.9333,0.875,0.6933,0.8611,14,3,1,2,2069
